
2025/04/27 (18:17:34) | ===> btop++ v.1.3.0
2025/04/27 (18:17:34) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (18:31:47) | ===> btop++ v.1.3.0
2025/04/27 (18:31:47) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (18:37:32) | ===> btop++ v.1.3.0
2025/04/27 (18:37:32) | WARNING: Failed to join _runner thread on exit!

2025/05/04 (20:44:01) | ===> btop++ v.1.3.0
2025/05/04 (20:44:01) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/05/11 (20:59:50) | ===> btop++ v.1.3.0
2025/05/11 (20:59:50) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (21:03:43) | ===> btop++ v.1.3.0
2025/05/11 (21:03:43) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (21:27:42) | ===> btop++ v.1.3.0
2025/05/11 (21:27:42) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (21:30:39) | ===> btop++ v.1.3.0
2025/05/11 (21:30:39) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (21:33:09) | ===> btop++ v.1.3.0
2025/05/11 (21:33:09) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (21:34:09) | ===> btop++ v.1.3.0
2025/05/11 (21:34:09) | WARNING: Failed to join _runner thread on exit!

2025/05/11 (21:34:42) | ===> btop++ v.1.3.0
2025/05/11 (21:34:42) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (18:23:15) | ===> btop++ v.1.3.0
2025/05/12 (18:23:15) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (19:59:06) | ===> btop++ v.1.3.0
2025/05/12 (19:59:06) | WARNING: Failed to join _runner thread on exit!

2025/09/27 (22:38:45) | ===> btop++ v.1.3.2
2025/09/27 (22:38:45) | WARNING: Failed to join _runner thread on exit!

2025/11/13 (11:06:37) | ===> btop++ v.1.3.2
2025/11/13 (11:06:37) | WARNING: Failed to join _runner thread on exit!

2025/11/14 (11:51:47) | ===> btop++ v.1.3.2
2025/11/14 (11:51:47) | WARNING: Failed to join _runner thread on exit!
